Order,Vertex_ID
1,0
2,6353
3,6386
4,6388
5,6391
6,6396
7,6397
8,6442
9,6444
10,6445
11,6443
12,6408
13,6398
14,6401
15,6373
16,6364
17,6367
18,6382
19,6385
20,6379
21,5840
22,7313
23,7458
24,6527
25,7325
26,7457
27,7540
28,7455
29,6581
30,6580
31,6598
32,6618
33,6620
34,7499
35,7333
36,7331
37,7498
38,7541
39,10000
40,7376
41,6967
42,7375
43,7395
44,7396
45,7397
46,7398
47,7573
48,7572
49,7574
50,7571
51,7575
52,7104
53,7103
54,7136
55,7404
56,7416
57,7414
58,7417
59,7434
60,7418
61,7429
62,7226
63,7444
64,7570
65,9594
66,9596
67,9613
68,10131
69,10133
70,10146
71,10145
72,10137
73,10130
74,10129
75,9603
76,9601
77,9602
78,9609
79,9608
80,9600
81,9566
82,9597
83,9590
84,9593
85,9595
86,10775
87,9589
88,9579
89,9580
90,9581
91,9576
92,9577
93,9575
94,9571
95,9572
96,9570
97,9574
98,10121
99,9569
100,9573
101,5891
102,5865
103,5867
104,7238
105,7219
106,7201
107,7206
108,7205
109,7188
110,7187
111,7178
112,7179
113,7180
114,7177
115,7162
116,7168
117,7151
118,7152
119,7146
120,7147
121,7413
122,7129
123,7415
124,7592
125,7110
126,7127
127,10770
128,7430
129,5718
130,7431
131,6647
132,6639
133,7112
134,7569
135,6663
136,7111
137,7284
138,7401
139,7402
140,7114
141,7576
142,7113
143,7117
144,7403
145,10771
146,7108
147,7109
148,7105
149,7101
150,7107
151,7100
152,7089
153,7090
154,7391
155,7063
156,7062
157,7057
158,7092
159,7091
160,7053
161,7047
162,7049
163,7392
164,7394
165,7058
166,7017
167,6957
168,6962
169,6940
170,6938
171,6958
172,7001
173,7011
174,7002
175,6939
176,7599
177,6915
178,6883
179,6866
180,6847
181,6844
182,6828
183,6807
184,6775
185,6776
186,6784
187,6773
188,6788
189,6901
190,6859
191,6861
192,6869
193,6868
194,6879
195,6888
196,6900
197,6875
198,6880
199,6878
200,6928
201,6961
202,6992
203,7537
204,7048
205,7285
206,7044
207,7035
208,7052
209,7073
210,7051
211,7043
212,7038
213,7014
214,7034
215,7036
216,6977
217,7400
218,6976
219,6975
220,6934
221,6923
222,6922
223,6898
224,6899
225,7282
226,7281
227,6827
228,6825
229,6838
230,6829
231,6824
232,6810
233,6811
234,7342
235,7635
236,7647
237,10365
238,10932
239,10364
240,6759
241,7646
242,7636
243,7584
244,7585
245,6693
246,7590
247,10935
248,7588
249,6678
250,7589
251,6679
252,7583
253,6637
254,6638
255,6669
256,6675
257,10394
258,6673
259,6674
260,6707
261,6634
262,6633
263,6636
264,6628
265,6666
266,6665
267,6694
268,6667
269,6659
270,6661
271,10785
272,6660
273,6648
274,10440
275,10795
276,7579
277,6692
278,6684
279,6719
280,6717
281,6732
282,6745
283,6757
284,6756
285,6751
286,6752
287,7538
288,6783
289,6587
290,6789
291,6796
292,7633
293,6826
294,7505
295,6815
296,6797
297,6799
298,7618
299,7509
300,6768
301,6782
302,6781
303,6804
304,6790
305,6795
306,6800
307,6808
308,10617
309,6817
310,6816
311,6806
312,6786
313,10620
314,10621
315,10619
316,10618
317,10616
318,6860
319,7510
320,7512
321,6845
322,6846
323,7511
324,6821
325,6814
326,5516
327,5517
